feature_name,importance,
ltq_yoy_lag12,291,0.000530642
xoprq_yoy_lag12,291,0.000530642
xoprq_yoy_lag13,291,0.000530642
nopiq_yoy_lag05,290,0.000528819
xoprq_qoq_lag18,290,0.000528819
lltq_yoy_lag03,289,0.000526995
revtq_qoq_lag10,289,0.000526995
dlcq_yoy_lag17,289,0.000526995
lctq_yoy_lag17,289,0.000526995
ltq_yoy_lag17,289,0.000526995
acoq_qoq_lag18,289,0.000526995
apq_qoq_lag18,289,0.000526995
dpactq_qoq_lag18,289,0.000526995
oibdpq_yoy_lag19,289,0.000526995
lctq_atq_lag19,289,0.000526995
oibdpq_qoq_lag09,288,0.000525172
oibdpq_yoy_lag12,288,0.000525172
wcapq_qoq_lag01,287,0.000523348
ltq_atq_lag01,287,0.000523348
niq_revtq_lag04,287,0.000523348
txtq_yoy_lag06,287,0.000523348
xsgaq_qoq_lag08,287,0.000523348
dpq_qoq_lag14,287,0.000523348
aoq_yoy_lag15,287,0.000523348
acoq_yoy_lag18,287,0.000523348
dpq_qoq_lag19,287,0.000523348
xsgaq_qoq_lag19,287,0.000523348
req_qoq,286,0.000521525
dpq_qoq_lag03,286,0.000521525
capxy_q_revtq_lag03,286,0.000521525
cheq_qoq_lag04,286,0.000521525
nopiq_revtq_lag05,286,0.000521525
lltq_yoy_lag13,286,0.000521525
actq_yoy_lag14,286,0.000521525
xoprq_yoy_lag16,286,0.000521525
xoprq_yoy_lag17,286,0.000521525
loq_yoy_lag05,285,0.000519701
capxy_q_qoq_lag11,285,0.000519701
dpq_yoy_lag12,285,0.000519701
cheq_qoq_lag19,285,0.000519701
capxy_q_qoq_lag05,284,0.000517878
actq_qoq_lag07,284,0.000517878
